,,,,
,,Flywheel-1,,
,,Angular Displacement1 (deg),,
Frame,Time,Ref. Coordinate System: ,,
190,1.260,8.0471E+01,,
191,1.267,7.7087E+01,,
192,1.273,7.3703E+01,,
193,1.280,7.0319E+01,,
194,1.287,6.6936E+01,,
195,1.293,6.3552E+01,,
196,1.300,6.0168E+01,,
197,1.307,5.6784E+01,,
198,1.313,5.3401E+01,,
199,1.320,5.0017E+01,,
200,1.327,4.6633E+01,,
201,1.333,4.3249E+01,,
202,1.340,3.9866E+01,,
203,1.347,3.6482E+01,,
204,1.353,3.3098E+01,,
205,1.360,2.9714E+01,,
206,1.367,2.6331E+01,,
207,1.373,2.2947E+01,,
208,1.380,1.9563E+01,,
209,1.387,1.6179E+01,,
210,1.393,1.2796E+01,,
211,1.400,9.4118E+00,,
212,1.407,6.0280E+00,,
213,1.413,2.6443E+00,,
214,1.420,-7.3946E-01,,
215,1.427,-4.1232E+00,,
216,1.433,-7.5070E+00,,
217,1.440,-1.0891E+01,,
218,1.447,-1.4274E+01,,
219,1.453,-1.7658E+01,,
220,1.460,-2.1042E+01,,
221,1.467,-2.4426E+01,,
222,1.473,-2.7809E+01,,
223,1.480,-3.1193E+01,,
224,1.487,-3.4577E+01,,
225,1.493,-3.7961E+01,,
226,1.500,-4.1344E+01,,
227,1.507,-4.4728E+01,,
228,1.513,-4.8112E+01,,
229,1.520,-5.1496E+01,,
230,1.527,-5.4880E+01,,
231,1.533,-5.8263E+01,,
232,1.540,-6.1647E+01,,
233,1.547,-6.5031E+01,,
234,1.553,-6.8415E+01,,
235,1.560,-7.1798E+01,,
236,1.567,-7.5182E+01,,
237,1.573,-7.8566E+01,,
238,1.580,-8.1950E+01,,
239,1.587,-8.5333E+01,,
240,1.593,-8.8717E+01,,
241,1.600,-9.2101E+01,,
242,1.607,-9.5485E+01,,
243,1.613,-9.8868E+01,,
244,1.620,-1.0225E+02,,
245,1.627,-1.0564E+02,,
246,1.633,-1.0902E+02,,
247,1.640,-1.1240E+02,,
248,1.647,-1.1579E+02,,
249,1.653,-1.1917E+02,,
250,1.660,-1.2255E+02,,
251,1.667,-1.2594E+02,,
252,1.673,-1.2932E+02,,
253,1.680,-1.3271E+02,,
254,1.687,-1.3609E+02,,
255,1.693,-1.3947E+02,,
256,1.700,-1.4286E+02,,
257,1.707,-1.4624E+02,,
258,1.713,-1.4962E+02,,
259,1.720,-1.5301E+02,,
260,1.727,-1.5639E+02,,
261,1.733,-1.5978E+02,,
262,1.740,-1.6316E+02,,
263,1.747,-1.6654E+02,,
264,1.753,-1.6993E+02,,
265,1.760,-1.7331E+02,,
266,1.767,-1.7669E+02,,
267,1.773,1.7992E+02,,
268,1.780,1.7654E+02,,
269,1.787,1.7315E+02,,
270,1.793,1.6977E+02,,
271,1.800,1.6639E+02,,
272,1.807,1.6300E+02,,
273,1.813,1.5962E+02,,
274,1.820,1.5624E+02,,
275,1.827,1.5285E+02,,
276,1.833,1.4947E+02,,
277,1.840,1.4608E+02,,
278,1.847,1.4270E+02,,
279,1.853,1.3932E+02,,
280,1.860,1.3593E+02,,
281,1.867,1.3255E+02,,
282,1.873,1.2917E+02,,
283,1.880,1.2578E+02,,
284,1.887,1.2240E+02,,
285,1.893,1.1901E+02,,
286,1.900,1.1563E+02,,
287,1.907,1.1225E+02,,
288,1.913,1.0886E+02,,
289,1.920,1.0548E+02,,
290,1.927,1.0210E+02,,
291,1.933,9.8712E+01,,
292,1.940,9.5328E+01,,
293,1.947,9.1944E+01,,
294,1.953,8.8560E+01,,
295,1.960,8.5177E+01,,
296,1.967,8.1793E+01,,
297,1.973,7.8409E+01,,
298,1.980,7.5025E+01,,
299,1.987,7.1642E+01,,
300,1.993,6.8258E+01,,
301,2.000,6.4874E+01,,
302,2.007,6.1490E+01,,
303,2.013,5.8106E+01,,
304,2.020,5.4723E+01,,
305,2.027,5.1339E+01,,
306,2.033,4.7955E+01,,
307,2.040,4.4571E+01,,
308,2.047,4.1188E+01,,
309,2.053,3.7804E+01,,
310,2.060,3.4420E+01,,
311,2.067,3.1036E+01,,
312,2.073,2.7653E+01,,
313,2.080,2.4269E+01,,
314,2.087,2.0885E+01,,
315,2.093,1.7501E+01,,
316,2.100,1.4118E+01,,
317,2.107,1.0734E+01,,
318,2.113,7.3502E+00,,
319,2.120,3.9664E+00,,
320,2.127,5.8269E-01,,
321,2.133,-2.8011E+00,,
322,2.140,-6.1848E+00,,
323,2.147,-9.5686E+00,,
324,2.153,-1.2952E+01,,
325,2.160,-1.6336E+01,,
326,2.167,-1.9720E+01,,
327,2.173,-2.3104E+01,,
328,2.180,-2.6487E+01,,
329,2.187,-2.9871E+01,,
330,2.193,-3.3255E+01,,
331,2.200,-3.6639E+01,,
332,2.207,-4.0022E+01,,
333,2.213,-4.3406E+01,,
334,2.220,-4.6790E+01,,
335,2.227,-5.0174E+01,,
336,2.233,-5.3557E+01,,
337,2.240,-5.6941E+01,,
338,2.247,-6.0325E+01,,
339,2.253,-6.3709E+01,,
340,2.260,-6.7092E+01,,
341,2.267,-7.0476E+01,,
342,2.273,-7.3860E+01,,
343,2.280,-7.7244E+01,,
344,2.287,-8.0627E+01,,
345,2.293,-8.4011E+01,,
346,2.300,-8.7395E+01,,
347,2.307,-9.0779E+01,,
348,2.313,-9.4162E+01,,
349,2.320,-9.7546E+01,,
350,2.327,-1.0093E+02,,
351,2.333,-1.0431E+02,,
352,2.340,-1.0770E+02,,
353,2.347,-1.1108E+02,,
354,2.353,-1.1446E+02,,
355,2.360,-1.1785E+02,,
356,2.367,-1.2123E+02,,
357,2.373,-1.2462E+02,,
358,2.380,-1.2800E+02,,
359,2.387,-1.3138E+02,,
360,2.393,-1.3477E+02,,
361,2.400,-1.3815E+02,,
362,2.407,-1.4153E+02,,
363,2.413,-1.4492E+02,,
364,2.420,-1.4830E+02,,
365,2.427,-1.5169E+02,,
366,2.433,-1.5507E+02,,
367,2.440,-1.5845E+02,,
368,2.447,-1.6184E+02,,
369,2.453,-1.6522E+02,,
370,2.460,-1.6860E+02,,
371,2.467,-1.7199E+02,,
372,2.473,-1.7537E+02,,
373,2.480,-1.7876E+02,,
374,2.487,1.7786E+02,,
375,2.493,1.7448E+02,,
376,2.500,1.7109E+02,,
377,2.507,1.6771E+02,,
378,2.513,1.6432E+02,,
379,2.520,1.6094E+02,,
380,2.527,1.5756E+02,,
381,2.533,1.5417E+02,,
382,2.540,1.5079E+02,,
383,2.547,1.4741E+02,,
384,2.553,1.4402E+02,,
385,2.560,1.4064E+02,,
386,2.567,1.3725E+02,,
387,2.573,1.3387E+02,,
388,2.580,1.3049E+02,,
389,2.587,1.2710E+02,,
390,2.593,1.2372E+02,,
391,2.600,1.2034E+02,,
392,2.607,1.1695E+02,,
393,2.613,1.1357E+02,,
394,2.620,1.1018E+02,,
395,2.627,1.0680E+02,,
396,2.633,1.0342E+02,,
397,2.640,1.0003E+02,,
398,2.647,9.6650E+01,,
399,2.653,9.3266E+01,,
400,2.660,8.9882E+01,,
401,2.667,8.6499E+01,,
402,2.673,8.3115E+01,,
403,2.680,7.9731E+01,,
404,2.687,7.6347E+01,,
405,2.693,7.2964E+01,,
406,2.700,6.9580E+01,,
407,2.707,6.6196E+01,,
408,2.713,6.2812E+01,,
409,2.720,5.9429E+01,,
410,2.727,5.6045E+01,,
411,2.733,5.2661E+01,,
412,2.740,4.9277E+01,,
413,2.747,4.5894E+01,,
414,2.753,4.2510E+01,,
415,2.760,3.9126E+01,,
416,2.767,3.5742E+01,,
417,2.773,3.2359E+01,,
418,2.780,2.8975E+01,,
419,2.787,2.5591E+01,,
420,2.793,2.2207E+01,,
421,2.800,1.8824E+01,,
422,2.807,1.5440E+01,,
423,2.813,1.2056E+01,,
424,2.820,8.6723E+00,,
425,2.827,5.2886E+00,,
426,2.833,1.9048E+00,,
427,2.840,-1.4789E+00,,
428,2.847,-4.8627E+00,,
429,2.853,-8.2464E+00,,
430,2.860,-1.1630E+01,,
431,2.867,-1.5014E+01,,
432,2.873,-1.8398E+01,,
433,2.880,-2.1781E+01,,
434,2.887,-2.5165E+01,,
435,2.893,-2.8549E+01,,
436,2.900,-3.1933E+01,,
437,2.907,-3.5316E+01,,
438,2.913,-3.8700E+01,,
439,2.920,-4.2084E+01,,
440,2.927,-4.5468E+01,,
441,2.933,-4.8851E+01,,
442,2.940,-5.2235E+01,,
443,2.947,-5.5619E+01,,
444,2.953,-5.9003E+01,,
445,2.960,-6.2386E+01,,
446,2.967,-6.5770E+01,,
447,2.973,-6.9154E+01,,
448,2.980,-7.2538E+01,,
449,2.987,-7.5921E+01,,
450,2.993,-7.9305E+01,,
451,3.000,-8.2689E+01,,
452,3.007,-8.6073E+01,,
453,3.013,-8.9457E+01,,
454,3.020,-9.2840E+01,,
455,3.027,-9.6224E+01,,
456,3.033,-9.9608E+01,,
457,3.040,-1.0299E+02,,
458,3.047,-1.0638E+02,,
459,3.053,-1.0976E+02,,
460,3.060,-1.1314E+02,,
461,3.067,-1.1653E+02,,
462,3.073,-1.1991E+02,,
463,3.080,-1.2329E+02,,
464,3.087,-1.2668E+02,,
465,3.093,-1.3006E+02,,
466,3.100,-1.3345E+02,,
467,3.107,-1.3683E+02,,
468,3.113,-1.4021E+02,,
469,3.120,-1.4360E+02,,
470,3.127,-1.4698E+02,,
471,3.133,-1.5036E+02,,
472,3.140,-1.5375E+02,,
473,3.147,-1.5713E+02,,
474,3.153,-1.6052E+02,,
475,3.160,-1.6390E+02,,
476,3.167,-1.6728E+02,,
477,3.173,-1.7067E+02,,
478,3.180,-1.7405E+02,,
479,3.187,-1.7743E+02,,
480,3.193,1.7918E+02,,
481,3.200,1.7580E+02,,
482,3.207,1.7241E+02,,
483,3.213,1.6903E+02,,
484,3.220,1.6565E+02,,
485,3.227,1.6226E+02,,
486,3.233,1.5888E+02,,
487,3.240,1.5550E+02,,
488,3.247,1.5211E+02,,
489,3.253,1.4873E+02,,
490,3.260,1.4534E+02,,
491,3.267,1.4196E+02,,
